dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0070 -2.7745 6.9867 1.4604 0.3988 2.8236 1.2745 -0.1104 0.3990 2.3980
0.0070 -2.7722 7.0063 1.4539 0.3988 2.8217 1.2722 -0.1169 0.3990 2.3980
0.0070 -2.7697 7.0259 1.4474 0.3988 2.8197 1.2697 -0.1234 0.3990 2.3980
0.0070 -2.7672 7.0454 1.4409 0.3988 2.8176 1.2672 -0.1299 0.3990 2.3980
0.0070 -2.7645 7.0650 1.4344 0.3988 2.8153 1.2645 -0.1364 0.3990 2.3980
0.0070 -2.7617 7.0845 1.4279 0.3988 2.8130 1.2617 -0.1428 0.3990 2.3980
0.0070 -2.7588 7.1039 1.4215 0.3988 2.8105 1.2588 -0.1493 0.3990 2.3980
0.0070 -2.7557 7.1233 1.4150 0.3988 2.8078 1.2557 -0.1558 0.3990 2.3980
0.0070 -2.7525 7.1427 1.4085 0.3988 2.8051 1.2525 -0.1623 0.3990 2.3980
0.0070 -2.7492 7.1620 1.4021 0.3988 2.8022 1.2492 -0.1687 0.3990 2.3980
0.0070 -2.7458 7.1813 1.3956 0.3988 2.7993 1.2458 -0.1752 0.3990 2.3980
0.0070 -2.7423 7.2006 1.3892 0.3988 2.7962 1.2423 -0.1816 0.3990 2.3980
0.0070 -2.7386 7.2198 1.3827 0.3988 2.7930 1.2386 -0.1881 0.3990 2.3980
0.0070 -2.7349 7.2389 1.3763 0.3988 2.7897 1.2349 -0.1945 0.3990 2.3980
0.0070 -2.7310 7.2581 1.3699 0.3988 2.7863 1.2310 -0.2009 0.3990 2.3980
0.0070 -2.7270 7.2771 1.3635 0.3988 2.7829 1.2270 -0.2073 0.3990 2.3980
0.0070 -2.7228 7.2961 1.3571 0.3988 2.7793 1.2228 -0.2137 0.3990 2.3980
0.0070 -2.7186 7.3151 1.3507 0.3988 2.7756 1.2186 -0.2201 0.3990 2.3980
0.0070 -2.7142 7.3340 1.3443 0.3988 2.7719 1.2142 -0.2265 0.3990 2.3980
