dt x z theta new_xc de new_d_theta phi_t v_m phi_m phi_d
newcycle
0.0270 -0.0003 0.4633 1.5731 -0.7957 -0.1561 0.0308 0.0297 1.0510 -0.0020 -0.0001
0.0320 -0.0004 0.4969 1.5731 -0.7947 -0.1550 0.0309 0.0302 1.0510 -0.0020 -0.0001
0.0250 -0.0004 0.5232 1.5730 -0.7939 -0.1537 0.0307 0.0308 1.0510 0.0080 -0.0001
0.0230 -0.0005 0.5473 1.5726 -0.7931 -0.1537 0.0303 0.0303 1.0510 0.0200 -0.0001
0.0250 -0.0005 0.5736 1.5721 -0.7923 -0.1547 0.0298 0.0288 1.0500 0.0250 -0.0001
0.0230 -0.0005 0.5977 1.5715 -0.7916 -0.1563 0.0292 0.0267 1.0500 0.0300 -0.0001
0.0240 -0.0005 0.6229 1.5709 -0.7909 -0.1582 0.0286 0.0243 1.0500 0.0320 -0.0001
0.0240 -0.0005 0.6481 1.5702 -0.7902 -0.1604 0.0280 0.0216 1.0490 0.0330 -0.0001
0.0230 -0.0005 0.6722 1.5696 -0.7896 -0.1627 0.0274 0.0188 1.0490 0.0320 -0.0001
newcycle
0.0260 0.0004 0.2856 1.5664 -0.8004 -0.2288 0.0153 -0.0395 1.0490 0.0310 -0.0001
0.0370 0.0006 0.3245 1.5656 -0.7999 -0.2314 0.0144 -0.0423 1.0490 0.0270 -0.0001
0.0230 0.0007 0.3486 1.5656 -0.7995 -0.2346 0.0145 -0.0457 1.0480 -0.0020 -0.0001
0.0230 0.0008 0.3727 1.5659 -0.7992 -0.2341 0.0148 -0.0455 1.0480 -0.0170 -0.0001
0.0230 0.0010 0.3967 1.5666 -0.7988 -0.2323 0.0154 -0.0439 1.0470 -0.0330 -0.0001
0.0230 0.0010 0.4208 1.5673 -0.7984 -0.2291 0.0162 -0.0411 1.0470 -0.0400 -0.0001
0.0280 0.0011 0.4501 1.5683 -0.7979 -0.2252 0.0171 -0.0376 1.0470 -0.0420 -0.0001
0.0230 0.0012 0.4742 1.5691 -0.7975 -0.2203 0.0179 -0.0331 1.0460 -0.0440 -0.0001
0.0230 0.0012 0.4983 1.5699 -0.7970 -0.2161 0.0188 -0.0293 1.0460 -0.0440 -0.0001
0.0230 0.0012 0.5223 1.5707 -0.7966 -0.2118 0.0196 -0.0254 1.0450 -0.0430 -0.0001
0.0320 0.0011 0.5557 1.5719 -0.7959 -0.2077 0.0207 -0.0217 1.0450 -0.0430 -0.0001
newcycle
0.0430 -0.0005 0.3234 1.5769 -0.7950 -0.1890 0.0248 -0.0036 1.0440 -0.0380 -0.0001
0.0240 -0.0007 0.3484 1.5776 -0.7943 -0.1817 0.0256 0.0029 1.0440 -0.0380 -0.0001
0.0240 -0.0009 0.3735 1.5781 -0.7937 -0.1777 0.0261 0.0065 1.0440 -0.0250 -0.0001
0.0240 -0.0011 0.3986 1.5783 -0.7930 -0.1748 0.0262 0.0090 1.0440 -0.0070 -0.0001
0.0300 -0.0013 0.4298 1.5780 -0.7922 -0.1735 0.0260 0.0099 1.0430 0.0100 -0.0001
0.0250 -0.0015 0.4559 1.5777 -0.7915 -0.1738 0.0257 0.0090 1.0430 0.0160 -0.0001
0.0320 -0.0017 0.4893 1.5772 -0.7907 -0.1746 0.0252 0.0078 1.0420 0.0190 -0.0001
0.0300 -0.0019 0.5205 1.5768 -0.7899 -0.1761 0.0247 0.0058 1.0420 0.0180 -0.0001
newcycle
0.0430 -0.0006 0.2858 1.5720 -0.7850 -0.1946 0.0196 -0.0157 1.0420 0.0150 0.0000
0.0250 -0.0006 0.3119 1.5719 -0.7845 -0.1962 0.0195 -0.0178 1.0420 0.0050 0.0000
0.0230 -0.0006 0.3358 1.5719 -0.7841 -0.1961 0.0195 -0.0181 1.0410 -0.0040 0.0000
0.0270 -0.0007 0.3639 1.5721 -0.7835 -0.1953 0.0197 -0.0176 1.0410 -0.0090 0.0000
0.0230 -0.0007 0.3879 1.5724 -0.7830 -0.1938 0.0200 -0.0165 1.0410 -0.0130 0.0000
0.0260 -0.0008 0.4149 1.5727 -0.7825 -0.1922 0.0203 -0.0153 1.0400 -0.0170 0.0000
0.0230 -0.0008 0.4388 1.5730 -0.7820 -0.1900 0.0207 -0.0134 1.0400 -0.0170 0.0000
0.0230 -0.0009 0.4627 1.5734 -0.7815 -0.1881 0.0210 -0.0118 1.0400 -0.0190 0.0000
newcycle
0.0270 0.0000 0.2665 1.5721 -0.7695 -0.1328 0.0306 0.0367 1.0400 -0.0190 0.0000
0.0390 -0.0001 0.3070 1.5727 -0.7683 -0.1300 0.0311 0.0390 1.0400 -0.0170 0.0000
0.0250 -0.0001 0.3330 1.5726 -0.7675 -0.1263 0.0311 0.0421 1.0400 0.0020 0.0000
0.0250 -0.0002 0.3590 1.5726 -0.7667 -0.1256 0.0310 0.0422 1.0400 0.0020 0.0000
0.0240 -0.0002 0.3840 1.5722 -0.7659 -0.1250 0.0306 0.0423 1.0400 0.0220 0.0000
0.0230 -0.0002 0.4079 1.5716 -0.7652 -0.1262 0.0300 0.0405 1.0400 0.0320 0.0000
0.0280 -0.0002 0.4370 1.5708 -0.7643 -0.1283 0.0292 0.0379 1.0400 0.0350 0.0000
0.0230 -0.0002 0.4609 1.5701 -0.7636 -0.1311 0.0285 0.0344 1.0400 0.0390 0.0000
0.0230 -0.0002 0.4849 1.5693 -0.7630 -0.1337 0.0277 0.0311 1.0400 0.0410 0.0000
0.0340 -0.0001 0.5202 1.5682 -0.7620 -0.1366 0.0266 0.0277 1.0400 0.0410 0.0000
newcycle
0.0380 0.0004 0.3057 1.5658 -0.7876 -0.2048 0.0172 -0.0241 1.0400 0.0390 0.0000
0.0230 0.0005 0.3297 1.5655 -0.7872 -0.2096 0.0169 -0.0293 1.0400 0.0180 0.0000
0.0230 0.0006 0.3536 1.5654 -0.7868 -0.2108 0.0168 -0.0307 1.0400 0.0060 0.0000
0.0250 0.0007 0.3796 1.5656 -0.7864 -0.2109 0.0169 -0.0310 1.0400 -0.0090 0.0000
0.0230 0.0009 0.4035 1.5659 -0.7860 -0.2096 0.0173 -0.0301 1.0400 -0.0190 0.0000
0.0240 0.0010 0.4285 1.5663 -0.7855 -0.2076 0.0177 -0.0284 1.0400 -0.0190 0.0000
0.0280 0.0011 0.4576 1.5670 -0.7850 -0.2054 0.0183 -0.0265 1.0400 -0.0290 0.0000
